Indicator,Subtype,Coefficient,P-value
Iron,5,0.03436369161035063,0.0798887185023838
Selenium,1,0.02284613231888108,0.070696371921556
Selenium,2,-0.00538649443965484,0.6905606426196966
Selenium,3,-0.006504939064587836,0.6648440411768377
Selenium,4,0.0003762078027817717,0.9784909080517846
Selenium,5,-0.033457515651084783,0.08864084286278115
Comparative body size at age 10,1,0.03187556347995651,0.011707715772424541
Comparative body size at age 10,2,0.041108548340994484,0.0023879274888489017
Comparative body size at age 10,3,-0.027165672522319346,0.07051479581511302
Comparative body size at age 10,4,-0.050270829773894056,0.0003162481599232032
Comparative body size at age 10,5,-0.01751264929100886,0.3730207226210407
Comparative height size at age 10,1,0.0011092973301250239,0.930102460841512
Comparative height size at age 10,2,0.006854855612818906,0.6125924903847597
Comparative height size at age 10,3,0.007139168583454134,0.6346080826740281
Comparative height size at age 10,4,-0.015430231689878083,0.26903141453124935
Comparative height size at age 10,5,0.0012342871880323552,0.9499415295527877
Maternal smoking around birth,1,-0.027563310621607842,0.029231157603739167
Maternal smoking around birth,2,-0.04257303519277978,0.0016538208536038123
Maternal smoking around birth,3,0.005054783816065893,0.7364114369853129
Maternal smoking around birth,4,0.06251983519761463,7.4422584777699546e-06
Maternal smoking around birth,5,0.023760179937268734,0.2266803582632753
Age first had sexual intercourse,1,0.07903465193333421,2.2533711753051485e-10
Age first had sexual intercourse,2,0.12911480308801582,3.5022475328549146e-22
Age first had sexual intercourse,3,-0.07663329636739548,2.252960734473776e-07
Age first had sexual intercourse,4,-0.12131071979591682,1.121580235176588e-18
Age first had sexual intercourse,5,-0.09149092627251357,2.3301790683304814e-06
Ever had same-sex intercourse,1,-0.038242874502636096,0.00241918825927365
Ever had same-sex intercourse,2,-0.014610562455538644,0.2790139233324584
Ever had same-sex intercourse,3,0.005810317758253073,0.6980551479877777
Ever had same-sex intercourse,4,0.04756707746613109,0.0006312857630773468
Ever had same-sex intercourse,5,0.018951925122473418,0.3336172731543391
College or University degree,1,0.02695301737193515,0.031535249729953314
College or University degree,2,0.12536536239040047,8.791950030937877e-21
College or University degree,3,-0.11154236237861984,6.650038553892195e-14
College or University degree,4,-0.04135487296089571,0.0028008508096246587
College or University degree,5,-0.05649019084045592,0.003743843539200304
A levels/AS levels or equivalent,1,0.0724265897470072,6.8858907996838106e-09
A levels/AS levels or equivalent,2,0.07318859596730054,4.518412020901668e-08
A levels/AS levels or equivalent,3,-0.020048871048292574,0.17707113900284577
A levels/AS levels or equivalent,4,-0.08414018106763876,1.078110618529784e-09
A levels/AS levels or equivalent,5,-0.12820105236885992,4.189957993235718e-11
O levels/GCSEs or equivalent,1,0.09587708411245868,1.5920646929591555e-14
O levels/GCSEs or equivalent,2,0.023327133989568236,0.08101796285087028
O levels/GCSEs or equivalent,3,0.020454489074715757,0.1679853387988517
O levels/GCSEs or equivalent,4,-0.10610243225462225,1.370513470226418e-14
O levels/GCSEs or equivalent,5,-0.10552602121232266,5.451674086803642e-08
CSEs or equivalent,1,-0.01286170252837907,0.28999868482992786
CSEs or equivalent,2,-0.013371696341050999,0.3040887975751268
CSEs or equivalent,3,0.012846362645760459,0.3736073261158094
CSEs or equivalent,4,0.029756654731885337,0.026573769447384595
CSEs or equivalent,5,-0.021732007174100808,0.2501252685325008
NVQ or HND or HNC or equivalent,1,-0.051412389649693274,3.861277692752021e-05
NVQ or HND or HNC or equivalent,2,-0.0080316415337859,0.548131992462505
NVQ or HND or HNC or equivalent,3,-0.007476085946112288,0.6144268401011936
NVQ or HND or HNC or equivalent,4,0.056033543059212244,4.836973119744115e-05
NVQ or HND or HNC or equivalent,5,0.042870593999349345,0.027293214204529542
Other professional qualifications,1,0.05082198948173816,5.794638747563767e-05
Other professional qualifications,2,0.049329404403036084,0.000266289228953284
Other professional qualifications,3,-0.022601225200878074,0.13225717349916732
Other professional qualifications,4,-0.04871758516298568,0.00048009050441549724
Other professional qualifications,5,-0.09154234958407491,3.175889206557553e-06
"Husband, wife or partner",1,0.06263611813651972,5.307091744606903e-07
"Husband, wife or partner",2,0.047928525902145594,0.00033772452130792984
"Husband, wife or partner",3,0.032135031091468355,0.030339273153012245
"Husband, wife or partner",4,-0.08303322875256236,1.714469378074296e-09
"Husband, wife or partner",5,-0.14284044856692127,1.8658121751601295e-13
Son and/or daughter,1,0.03144188681108837,0.005994238259922894
Son and/or daughter,2,-0.014956654776295666,0.22201744323143455
Son and/or daughter,3,0.004308677541946075,0.7512292847628292
Son and/or daughter,4,-0.02518074371841949,0.046189493443205124
Son and/or daughter,5,-0.0018813514283642584,0.9157686819775159
Brother and/or sister,1,-0.028052280283716334,0.02649371556755366
Brother and/or sister,2,-0.03854981103690641,0.004389863758777194
Brother and/or sister,3,-0.009593228937510304,0.5229558471855698
Brother and/or sister,4,0.03322146799916388,0.017290808710575343
Brother and/or sister,5,0.09965437613823955,3.9521065170035356e-07
Mother and/or father,1,-0.0567752209377357,6.6099530994438195e-06
Mother and/or father,2,-0.009695814190165202,0.47229442059795035
Mother and/or father,3,-0.0014491189767250972,0.9228814310500671
Mother and/or father,4,0.053249665229251814,0.0001291114722296173
Mother and/or father,5,0.05453951611147651,0.0053699308677432065
Grandparent,1,-0.016114302237589587,0.20266130567438095
Grandparent,2,-0.001233640864243241,0.9274017445084572
Grandparent,3,-0.022306223504715922,0.13762920976723955
Grandparent,4,0.02563787501889564,0.06632839884738422
Grandparent,5,0.028908646799342165,0.14151746465718706
Grandchild,1,-0.04196537746405104,0.0008912643312071686
Grandchild,2,-0.012645949757460901,0.34961354515559995
Grandchild,3,-0.024127749842684742,0.10779064673817092
Grandchild,4,0.06281234858921753,6.616487178182282e-06
Grandchild,5,0.04485000851262882,0.02236170981188763
Other related,1,-0.010692623334059575,0.39773477858419437
Other related,2,-0.0010875731640961849,0.9359541276299892
Other related,3,-0.009753721087365849,0.5160608067153709
Other related,4,0.011980794044880045,0.3906870633362848
Other related,5,0.021082049258294284,0.28348258022856515
