Biomarker,Subtype,Age,Coefficient,p,t
VCAN,2,49.0,0.12346563426267088,0.00212675061520697,3.0758700372292433
LYPD8,2,49.0,0.1337024784237443,0.0021784995893178723,3.0686607075712438
ACRV1,2,64.0,0.10537279394454654,0.0021903446477424906,3.0659003382888543
CCL7,2,64.0,0.10377470404050795,0.0022156995336950445,3.062445948371464
NECTIN2,2,49.0,0.103228176039734,0.0022269279494199273,3.062054901385004
POSTN,2,64.0,0.10901647444170597,0.002222486014991055,3.0615274974862796
ERBB3,2,49.0,0.1268311550671507,0.0022869952714106427,3.0540421441306416
EPO,2,64.0,0.10151270401483665,0.002290622238383833,3.052446096428438
TNFRSF8,2,49.0,0.1111845139093992,0.0023025601813352445,3.051997332658052
IFNAR1,2,49.0,0.13807224145941152,0.0023096757937225575,3.0510667491094585
TNNI3,2,49.0,0.12857533805630533,0.002376921308035648,3.0423997957562117
GCNT1,2,49.0,0.11843807371712876,0.0024109171215515573,3.0381034001118383
CALCA,2,64.0,0.09783684952541494,0.002404229881375578,3.0378406461053262
CAPS,2,64.0,0.12194021226925736,0.0024301941029536197,3.0345915859854946
ITGA11,2,49.0,0.11768237450963598,0.0024602361485814048,3.0319680802340914
CRELD1,2,64.0,0.10025380592807881,0.0024621069822183634,3.0306414003443862
IL22RA1,2,49.0,0.12071889751848884,0.0024794017412990265,3.0296142171922558
MUC13,2,49.0,0.13113712035804978,0.0025028389879715204,3.0267582608322456
BCHE,2,49.0,0.13633518167527284,0.0025336240798091905,3.0230439028801195
CSF1,2,49.0,0.09623236255920367,0.002549622751491635,3.0211298756400513
DRAXIN,2,64.0,0.10309308030708536,0.0025456297734451298,3.0205206036364536
PTPRM,2,49.0,0.1222518117390112,0.0025816412310946295,3.017332079601126
MILR1,2,64.0,0.1071523605068091,0.0025759383210987004,3.0169230219192413
DUSP29,2,64.0,0.10762022695162471,0.002606969989193524,3.0132795098496565
SFTPD,2,64.0,0.10993429987811315,0.0026099904452566657,3.01292699172735
TGFB1,2,49.0,0.10975091154818392,0.002666338152581305,3.007489942376542
ADH4,2,49.0,0.12807090896614032,0.002676626120894724,3.006313981630947
PYY,2,64.0,0.11039271405600079,0.002672220298192693,3.0057459410296232
CPXM2,2,49.0,0.11498406109887771,0.002688583493238171,3.0049523837557213
CLEC5A,2,49.0,0.11516227315291103,0.0027115105127660704,3.0023570785223255
ENPP2,2,49.0,0.10542993222211161,0.002714374925913364,3.002034242454619
GART,2,49.0,0.12101715811559807,0.0027451926475359598,2.9985804711961292
ACAN,2,64.0,0.0939045544178864,0.00274398976878578,2.997651527234869
CLC,2,49.0,0.12682625780936138,0.002759278945838015,2.997013595954483
TNFRSF13C,2,49.0,0.12775488819056208,0.002762285429492409,2.996680119882729
HADH,2,64.0,0.11818520515137587,0.002765088063041101,2.995308791035347
ICAM4,2,49.0,0.12924172753958021,0.0028015379539568634,2.992356444733676
IFNGR1,2,64.0,0.07798502714759098,0.0027981693058791303,2.991668163793286
IL6,2,64.0,0.10433809672348118,0.002803105733582721,2.9911282803179815
PI3,2,64.0,0.10408738368171527,0.0028044606071217417,2.9909802534798127
CELA3A,2,49.0,0.12550643992790375,0.0028423138931354427,2.987923203510346
GRP,2,49.0,0.1271600696695804,0.0028590087184014704,2.986124857724272
GLB1,2,49.0,0.12662171398824257,0.0028769933954990697,2.9841982739067148
LPL,2,49.0,0.12643564692439874,0.0029000785241258347,2.981741372249596
CEACAM8,2,64.0,0.0981221387879404,0.002912301484221453,2.9794026510031344
CD248,2,64.0,0.09831682640931275,0.002944556133875827,2.9760158988832166
ISM1,2,64.0,0.09116496449500236,0.0029765780805836852,2.9726869222048653
CXCL5,2,49.0,0.12652004797014618,0.003002429286597096,2.9710591265463626
TIMP3,2,49.0,0.12290782139221366,0.003011750073870538,2.970102914869503
CLSTN2,2,49.0,0.12340461502250347,0.0030187177490394353,2.969389869931452
AFP,2,49.0,0.1283766663091925,0.003121882101764988,2.9590045345636424
S100A11,2,64.0,0.10112946068666821,0.0031123208712940157,2.9589286352794404
ANXA1,2,64.0,0.10840279407983325,0.0031411399578083372,2.956078268409834
DDR1,2,49.0,0.10364742463696311,0.0031534419810703524,2.955889998865121
F9,2,49.0,0.11940932208488418,0.003195836510579718,2.951750681068236
OPTC,2,64.0,0.10453619918443287,0.003189850284999799,2.9513143333740524
ASGR1,2,64.0,0.09389220080838098,0.003191228694907982,2.951180490681672
CLEC6A,2,64.0,0.0985843244143482,0.0032277229692763264,2.9476559559572326
QPCT,2,64.0,0.09451459461379125,0.003229746953812411,2.9474615492476084
DPP6,2,49.0,0.11651868941068354,0.003251284578735569,2.9464117774115515
ITGAL,2,64.0,0.10808824629870556,0.003267340918982633,2.94387063658551
CD40,2,49.0,0.11027311087311156,0.003285542529756168,2.9431545405974164
NECTIN4,2,49.0,0.10019317297545594,0.003298201435345264,2.941958765187353
DKK4,2,49.0,0.1196168810171393,0.003317554593415001,2.9401387051595136
WFDC12,2,49.0,0.12411791676816113,0.0034002380770710603,2.932470165202424
MANSC4,2,64.0,0.11498379304662977,0.003424583824672469,2.9292478936473647
POLR2F,2,49.0,0.11634814098155975,0.0034769495583136666,2.925505953939146
ANGPTL2,2,49.0,0.11833529853392022,0.003477032464543168,2.9254985033567373
MYL3,2,64.0,0.10510901915741105,0.0034911949448077737,2.923237133510565
BPIFB2,2,64.0,0.10882332113739474,0.0035737762753299735,2.9159285946779705
IL19,2,49.0,0.12084815205760818,0.003613113519615515,2.9134819828151093
FABP4,2,64.0,0.08886008263939466,0.003629112175866219,2.9111168371631932
IL31RA,2,49.0,0.12614103991664796,0.0036966694577770056,2.9063062160544257
OSCAR,2,64.0,0.09427511136625434,0.003721005262536272,2.903271775160738
INHBB,2,49.0,0.11337716275216309,0.0038323138948056197,2.8949654175584767
FCRL2,2,64.0,0.10825279643495765,0.003824153497818899,2.894673044313064
FGF3,2,64.0,0.09320186381615105,0.0038347301123699703,2.8938033058159944
BTD,2,49.0,0.1264870552631157,0.003912023928049434,2.8884702602529733
PAPPA,2,64.0,0.10511110200885021,0.0039054908706389856,2.888039962346859
GPD1,2,49.0,0.12095074608645799,0.003927924836047108,2.8871889870986593
AMOT,2,64.0,0.09722611952073042,0.003916628445074453,2.8871414831839526
CD300LG,2,64.0,0.09283252206287082,0.003944824196655249,2.8848772405906566
IGFBP1,2,64.0,0.10240572931042725,0.003961087944233655,2.8835778687637728
CFHR4,2,49.0,0.12368831745221123,0.004033094944494379,2.878831314185786
CSRP3,2,64.0,0.10574495559705019,0.004032725866175268,2.877911525841316
CTSO,2,49.0,0.11238696637155018,0.004106574280878506,2.873108752011931
CD300C,2,49.0,0.11109282447432108,0.004156613680925414,2.8692646808711313
ITIH3,2,64.0,0.09821837501048439,0.004157861135650792,2.868229472766265
CTSF,2,64.0,0.09717443996894343,0.004187467232160791,2.8659775085062202
PROC,2,49.0,0.12257597215250547,0.00423097950296617,2.863628749011806
NUCB2,2,49.0,0.1052544829335142,0.004231463726155039,2.8635923469880744
SEMA7A,2,64.0,0.09518188386392429,0.00426519022479315,2.860133620230257
FCRL2,2,49.0,0.11410053958542066,0.00428517485793021,2.859577833323935
F11,2,49.0,0.15148627366333223,0.0043646768020462745,2.8537186719762806
CPA1,2,49.0,0.11900894515713491,0.004387812770016794,2.8520317774089534
LRPAP1,2,49.0,0.12124120975113577,0.004416015987880032,2.849986296740963
LRIG3,2,49.0,0.13148517666042875,0.004468027777784042,2.846244941350107
LRP11,2,49.0,0.10136351436461681,0.00448645154609413,2.8449291356135786
AGER,2,49.0,0.11275373266177482,0.004490418192864878,2.8446464830651808
GALNT10,2,49.0,0.11312322871813314,0.004496153437465141,2.8442382050446584
DPY30,2,49.0,0.10657029847373853,0.004516412505277833,2.8427997815605286
IL17RB,2,64.0,0.1016250798747523,0.004519185541995704,2.841687413722175
ADAM23,2,64.0,0.09334540975198105,0.004624468051257275,2.8343157284360236
IL16,2,64.0,0.09417282470518917,0.004631319371007518,2.8338412990871307
S100P,2,49.0,0.1100330381921563,0.0046462354945111875,2.8337186143497473
B4GAT1,2,49.0,0.11368272342510696,0.004665317398262611,2.832403261395279
VEGFA,2,49.0,0.11303520686984317,0.004713968620511774,2.829071565754585
MUC2,2,49.0,0.1219048669963847,0.004733944910901133,2.8277125786716226
CD5,2,49.0,0.1053183307878242,0.004735359653025255,2.8276165308497196
SPINK1,2,64.0,0.08825293531355703,0.0047773656829221455,2.8238764099565654
B4GALT1,2,49.0,0.09810858545158775,0.004936563313062433,2.8142144081320373
B3GNT7,2,64.0,0.09673241625508308,0.004967996324660653,2.811276504062124
CCL11,2,64.0,0.08997717015599183,0.005010474660817544,2.8085285716384796
SLITRK2,2,49.0,0.11676442402041348,0.005031843841118529,2.8080395220488303
GBP1,2,49.0,0.10791264074737539,0.005070928333960482,2.8055371132300397
RGMB,2,64.0,0.0750933159862279,0.005060422322520311,2.805324279130023
IGF2R,2,49.0,0.11830843290520612,0.005159833890166793,2.799909238154752
NGRN,2,49.0,0.11301636851269167,0.005189463686453923,2.79805309636986
FGF20,2,49.0,0.11582802791180807,0.005193539974403105,2.7977984899328954
PGA4,2,64.0,0.11167471503972834,0.005304316375616399,2.7900770967184547
FAM3D,2,64.0,0.10009424626857338,0.005469714669111673,2.7800936942791994
CFHR5,2,49.0,0.11665442216118345,0.0054912851610724005,2.7796726821315674
TSPAN8,2,49.0,0.11987745898631441,0.005509880246739486,2.778570368461037
LCAT,2,49.0,0.11993484168563869,0.0056135637948932495,2.772484929592812
KRT18,2,49.0,0.10884436831270781,0.005741126989916781,2.7651356536809297
CASP1,2,64.0,0.10268800308217847,0.005808867025094682,2.7604475090137197
CSF2,2,49.0,0.13567794580044892,0.0058785817616572,2.7573796461774456
CEACAM5,2,64.0,0.09960780568232462,0.005955933383557978,2.7522484268195413
CD36,2,49.0,0.11711277141200067,0.00599194908493017,2.7511049344966283
ANGPT1,2,49.0,0.1154838129698045,0.00601100743351514,2.7500606103957566
IDO1,2,64.0,0.09677243902093709,0.006083116228485348,2.745303753775445
DCBLD2,2,49.0,0.10086273354555927,0.006109301442010963,2.744721418742254
SIGLEC8,2,64.0,0.09278853374141166,0.006110028817686914,2.743851016487048
FLRT2,2,64.0,0.08725499320585672,0.006152495740143421,2.741570344661338
C8B,2,49.0,0.12244701557440504,0.0062142635494179775,2.739104839002272
GCHFR,2,49.0,0.12282061885507776,0.006251938191000734,2.737109681110512
CDH1,2,49.0,0.1079593466790395,0.006289014385550343,2.7351567623281223
SERPINB8,2,49.0,0.10345849452792806,0.006473284607814312,2.7256018762115835
ADGRF5,2,49.0,0.11322406387540473,0.0065280594026337745,2.7228088751773747
FAM3B,2,49.0,0.12060959676338497,0.006603366955652879,2.719003134625964
CPB1,2,49.0,0.11270222503115043,0.006617060841768457,2.7183153010285395
NTRK3,2,49.0,0.10563967917233208,0.006744274234222766,2.7119859677317724
LILRA2,2,49.0,0.11189989150470792,0.0068220460825005194,2.7081692272356084
ADAM12,2,64.0,0.08829147306758954,0.006819065549954829,2.707513639534397
SLC39A14,2,64.0,0.1037765928936553,0.006846932536531177,2.7061561285562643
CD300A,2,64.0,0.08956685631904754,0.0068633461203899,2.7053588806222857
GRN,2,49.0,0.10323020549998309,0.007025234570962731,2.6983791206311643
TPP1,2,49.0,0.10849918423590343,0.007051532942580127,2.6971306605477117
CCL24,2,49.0,0.11911686050190759,0.007067418482934344,2.6963785533167037
NCR1,2,64.0,0.08841182037378538,0.0071652988808037586,2.6909898740976077
BPIFB2,2,49.0,0.10635442642398803,0.007338421310657768,2.6837763298605135
SUSD2,2,64.0,0.08708596928628247,0.007338514244445735,2.682990787555108
SERPINF1,2,49.0,0.10952472451688858,0.007423205396673352,2.6799194753458035
MAD1L1,2,49.0,0.09637174661202788,0.007531397438637595,2.6750548020380562
C1S,2,49.0,0.1189779350868785,0.007533607354570584,2.674956092071083
SIGLEC10,2,64.0,0.0886136750801234,0.007552605253864134,2.673335012624752
INSL4,2,64.0,0.09309469181766902,0.007583671987870474,2.6719543217094706
CD5,2,64.0,0.08756399528955151,0.007585633479603693,2.6718673180127035
CCL20,2,64.0,0.09786061418465698,0.007632810777821275,2.669780783037061
ZNRD2,2,49.0,0.10624802225624697,0.007678954461137747,2.6685202547957214
IL1R2,2,49.0,0.10060128767583068,0.0076905918592369915,2.6680096983587025
CNTN5,2,49.0,0.10389379203805359,0.007717869636908224,2.666815676747889
POLR2F,2,64.0,0.08442486235190651,0.007726212390646388,2.665683753693834
CCN2,2,49.0,0.1093634935381867,0.0077732919540385095,2.664401304214764
MASP1,2,49.0,0.10679136797857816,0.0077794833424729565,2.664132546938452
PREB,2,64.0,0.10204162369101603,0.007768253922363208,2.663854092738006
PLG,2,49.0,0.11604541165758604,0.007820259485567789,2.6623673020186645
MET,2,49.0,0.10758643009468777,0.007896545170106522,2.659086854611593
ANG,2,49.0,0.11016774363597615,0.007950293880094652,2.65679256097533
FABP6,2,49.0,0.10680789617494847,0.008197499067520654,2.64641620953057
LTA4H,2,64.0,0.09334147334486387,0.008313343853882235,2.640901763916882
RNASE4,2,64.0,0.0853329320580576,0.00836760787724227,2.638691219941025
COCH,2,64.0,0.09413743121749248,0.008378632242254781,2.6382436910033564
MFGE8,2,49.0,0.10802483321775216,0.008467045189367658,2.6354167403190174
CANT1,2,49.0,0.09659883376030956,0.008544705738452577,2.632305786782604
FABP2,2,49.0,0.10840704998999387,0.008591605814868257,2.630439277810745
GP2,2,64.0,0.09771108240880369,0.00858943880268962,2.6297859051270427
MANEAL,2,49.0,0.1146852564335557,0.0086627554482182,2.6276250251849635
IL6ST,2,49.0,0.09808666193512845,0.00867901213544678,2.626984910859173
EPHA1,2,49.0,0.10186109097680439,0.008717309606347626,2.6254811593785035
FGF2,2,49.0,0.11305195521717076,0.008821754052681832,2.621409969417757
ZNRD2,2,64.0,0.09535583660402475,0.008827365264321417,2.62046023250197
TMPRSS5,2,49.0,0.110196181719078,0.008861866878859335,2.6198578389479987
LGALS7_LGALS7B,2,49.0,0.10613845673140691,0.008988092604947257,2.6150142898184745
APBB1IP,2,49.0,0.1069341950685182,0.009023639298145359,2.6136612595726967
LCN2,2,49.0,0.10206668559299849,0.009080402517779038,2.6115104980021906
KLK3,2,49.0,0.09739076859840781,0.009090239054089882,2.611139012883078
C2,2,49.0,0.10231266578272322,0.009167505828413913,2.6082333933934176
KIR2DL3,2,49.0,0.11303146738284725,0.009232864945735109,2.6057925900373315
BMP6,2,64.0,0.08391793846622066,0.009277650212897583,2.603409759726285
MMP3,2,64.0,0.09122366164826047,0.009403348504096966,2.5987820983287664
CTSS,2,49.0,0.10933212784745318,0.009423379632058172,2.598764935320986
SIGLEC10,2,49.0,0.099174994625912,0.009465574434957203,2.5972256383644092
MFAP5,2,64.0,0.08955642999234076,0.009456846200792962,2.5968292788421126
TNFRSF8,2,64.0,0.07893479043747542,0.009620099871371465,2.590930396377475
GPNMB,2,64.0,0.0838355301113128,0.009669130315680013,2.589176204870474
CD22,2,49.0,0.09969072913632315,0.00978330482697802,2.5858273438450006
LILRB1,2,49.0,0.10148550125406822,0.009840162099572352,2.583822556384193
CELA2A,2,49.0,0.10877053680605679,0.009857691367416859,2.5832065575339014
GDNF,2,64.0,0.09035750734127704,0.00991089142574661,2.5806408696156478
THBD,2,64.0,0.07548998125014764,0.009955835302756996,2.5790746289055027
DEFA1_DEFA1B,2,49.0,0.10541938537197994,0.010013818604708695,2.57776273896402
EGFLAM,2,64.0,0.09851495272366512,0.010060463983195846,2.5754527131362717
ZHX2,2,49.0,0.10715664697549733,0.010158335791619458,2.572790746024846
LILRB2,2,49.0,0.104160616399026,0.010196028049265775,2.571504341829515
S100A13,2,64.0,0.08653256521552417,0.010177924786838094,2.571426363549771
BDNF,2,49.0,0.10575912752650876,0.010256559871879649,2.5694472812966125
MCFD2,2,64.0,0.09297213298571268,0.010244830776349995,2.56915141078813
CFC1,2,49.0,0.11121687439392952,0.010356412061057746,2.566077505766618
MOG,2,64.0,0.08061692403403237,0.01039071614430532,2.5642365080527965
LAMB1,2,49.0,0.11173337589743779,0.010434150209865961,2.5634740004809498
PRTN3,2,64.0,0.08575250483925818,0.010444008832293124,2.562456380532509
CTSZ,2,64.0,0.08278279062260759,0.010455154902985802,2.5620850927796432
IL13RA1,2,49.0,0.10174823982503106,0.010479740307142948,2.5619551796468354
PTGR1,2,49.0,0.10502735795209688,0.010525641456346244,2.5604319274411362
TFF3,2,49.0,0.07678406456785623,0.010653800600113436,2.5562099924574984
RNASET2,2,49.0,0.09204229307778208,0.010713580653570125,2.5542561024145223
BRK1,2,49.0,0.09813147468334749,0.010804724725491188,2.5512956801676423
CA9,2,49.0,0.10013247275687272,0.01086892026094913,2.549223870398614
TPPP3,2,49.0,0.1107959937547111,0.010983803569433208,2.545543209523424
DNER,2,49.0,0.10569590489882544,0.011102738556800669,2.541768630102689
CHL1,2,49.0,0.10568646451723719,0.011157147919925505,2.5400538383840607
SIGLEC1,2,64.0,0.08670491605549108,0.011276363978985668,2.5356532227016673
FBP1,2,64.0,0.08866036522650748,0.011381421172831837,2.5323962441757355
SDC1,2,64.0,0.07954091786290177,0.011590302570540504,2.525999062527701
ADH1B,2,49.0,0.10733739238232534,0.011900927474117775,2.517328249410688
FUOM,2,49.0,0.1066792562221046,0.011963063505338312,2.5154872957386356
CHIT1,2,49.0,0.11029070937897763,0.01209725905695425,2.5115401464951246
MAPK9,2,49.0,0.10073842003014362,0.012163984544022993,2.509591958548369
C7,2,49.0,0.10720789233276845,0.012183879190828112,2.509012927525661
CCL5,2,49.0,0.10698614474683718,0.012216067982648465,2.5080778503355488
MYH7B,2,64.0,0.09355520850158583,0.0122552074847576,2.506295534044871
TGFB2,2,49.0,0.10411750629271588,0.012333791303707523,2.5046765165671423
AIF1L,2,64.0,0.09220352498440254,0.01233994481547276,2.503852976461856
C4BPB,2,49.0,0.10114907765765319,0.012433231382959653,2.501825782421569
GPNMB,2,49.0,0.0960297000293095,0.012436853981989869,2.501722312274606
CDH6,2,49.0,0.09607342335304367,0.012457499903453382,2.5011331244785393
LSP1,2,49.0,0.10551505406131245,0.012684387739779448,2.4947146349874907
NID2,2,49.0,0.10386011684626091,0.012696477809339624,2.4943754780713787
WFDC1,2,49.0,0.10900108310160327,0.012709099093452733,2.494021724310466
CSTB,2,49.0,0.0983792200102232,0.01273862239603213,2.49319544857452
ESAM,2,64.0,0.07514651200769036,0.012743804096160717,2.4924120724147443
C1QBP,2,49.0,0.0919165624688157,0.012802460612349858,2.491414576109181
KIF22,2,49.0,0.11040317353609314,0.012851819331727927,2.490043015914846
CTSS,2,64.0,0.08447366323449251,0.012876647787319468,2.4887188970295244
RNASE10,2,49.0,0.10336769507076071,0.012947667101963758,2.4873929066222686
CXCL8,2,64.0,0.08889051398866518,0.013049623320561858,2.483960243991489
VAT1,2,49.0,0.1043191901361663,0.0132147645346089,2.480098466989816
PCOLCE,2,49.0,0.07957371646172395,0.013233933368890128,2.479579997766405
IL18,2,49.0,0.09597895840737712,0.013337473352056853,2.476790932550273
VMO1,2,49.0,0.10404331119621806,0.01338738155493006,2.4754533860031396
ST3GAL1,2,49.0,0.10991840420898452,0.013409498322732959,2.474862063447644
PZP,2,49.0,0.09872843277518586,0.013411778593328363,2.474801146302078
GPHA2,2,64.0,0.09522045298519152,0.013403823586637078,2.4743876552698643
MMP1,2,49.0,0.10324722629777293,0.013452871578087928,2.4737049192587617
SCN4B,2,49.0,0.09941909391706319,0.013465816120353493,2.4733602143307993
GGT5,2,49.0,0.10429797988134766,0.013477109637995931,2.473059714405772
HYAL1,2,49.0,0.09120210873561968,0.013540865002353537,2.4713674653022193
FGFBP1,2,49.0,0.10987663821589568,0.013541469551209653,2.4713514526001723
DEFB4A_DEFB4B,2,49.0,0.1016521592031584,0.013721720628138832,2.4666050901891374
SLC39A5,2,64.0,0.08337424103651582,0.01374952993011015,2.4652579392856326
LRRC37A2,2,49.0,0.11143636649247389,0.013852842682592974,2.4631868940188317
PNLIPRP1,2,49.0,0.10115298999724553,0.014021526954384807,2.458831295352932
CAPS,2,49.0,0.08889559415041978,0.014142922200357956,2.4557252974216737
ADAMTS8,2,49.0,0.10097741585935925,0.014219206316497625,2.45378552955571
RBKS,2,49.0,0.10512403912111187,0.01443133563604103,2.448439359376533
IL18R1,2,49.0,0.10007127081148269,0.014727453972372634,2.441091280864952
COL1A1,2,49.0,0.0995141376175191,0.01486726893847298,2.4376670160262024
BMP4,2,64.0,0.08516440641999057,0.01499427505970963,2.4339822954629304
S100A11,2,49.0,0.09645566478847939,0.015091218886320687,2.4322408816295145
EGLN1,2,64.0,0.08372023806497457,0.015072360072448792,2.432097637627195
NOTCH2,2,49.0,0.10051691583844645,0.015193890802712589,2.4297769146149166
SNRPB2,2,49.0,0.09529205716181391,0.015223976819111662,2.4290576766447467
SPINK6,2,64.0,0.08384083430388062,0.015218595780199035,2.428591123310719
TNFRSF21,2,64.0,0.0689184586169585,0.01549153315759188,2.422125148109957
BCAT1,2,49.0,0.09737346490424018,0.01560489623158094,2.4200580556309275
MAPK13,2,49.0,0.10668864469810364,0.015619014773950946,2.4197282237279567
ADAMTS1,2,49.0,0.09758316920928073,0.015862772571119094,2.414074640333907
CCND2,2,49.0,0.10665765684439645,0.01595921627342167,2.4118588706849815
DKK1,2,49.0,0.09829982490434898,0.01605960071505133,2.4095650424796347
IFNLR1,2,49.0,0.10171999255642675,0.01623556049315129,2.4055745443243133
FCAR,2,64.0,0.08717524214457231,0.016268613561019867,2.4042501034781534
UPB1,2,49.0,0.10258538154324967,0.01633622253401744,2.403308755754507
DNM3,2,49.0,0.09076487599572867,0.01637898801958731,2.4023498669358565
MMP8,2,64.0,0.08453663320051044,0.016690320441223847,2.3948617447420695
LAMA4,2,49.0,0.08891804848572012,0.016760163625285214,2.3938990161107903
PCDH9,2,64.0,0.07859175822723187,0.016983514765338967,2.3884564913453423
NRP2,2,64.0,0.0772837850112642,0.017060334614168265,2.386794311202927
GSR,2,49.0,0.09590510152037171,0.017151609994661813,2.385394412387131
CD300LG,2,49.0,0.08778872134076728,0.0171556604889003,2.385307305613089
PPP1R14D,2,49.0,0.09279478218258572,0.01742109541238779,2.3796380472679672
PCDH7,2,49.0,0.09434932268764881,0.01744449144188452,2.379141988920653
AGR3,2,49.0,0.09845623349617955,0.01773039404071167,2.373126770362952
MILR1,2,49.0,0.09502537925976254,0.01785932943815333,2.370441839243807
BCL2,2,49.0,0.10290709184020112,0.01788054405650877,2.3700016986102224
KIAA0319,2,49.0,0.08927974798266282,0.017897705624310218,2.3696459816698376
FCER1A,2,49.0,0.101848945016173,0.01793341075783846,2.3689068596423786
TFPI2,2,64.0,0.07295665232784883,0.01794723348599112,2.3680652052416615
GAGE2A,2,49.0,0.10375112373717421,0.01812253892350235,2.365013150508057
CTRB1,2,49.0,0.09793839124463338,0.018140282975134786,2.364649671670921
DKKL1,2,64.0,0.08926127737218023,0.01812364734285062,2.3644368687871236
LIPF,2,64.0,0.08793629631926352,0.01828363462262762,2.361173039915075
LRTM2,2,49.0,0.10856263524287516,0.018323094717198195,2.360922885409816
BPIFB1,2,49.0,0.10073748653391962,0.01862013568306013,2.3549363225997535
IGFBP6,2,49.0,0.07707581979411457,0.0187107179500406,2.353127367509034
CGB3_CGB5_CGB8,2,49.0,0.09140981847801195,0.01884838945776255,2.350392652969339
TMEM25,2,49.0,0.09703659173443002,0.018926082467763478,2.3488570626763163
CTSH,2,49.0,0.1053031999899754,0.018995832808907587,2.347483150249579
TNFRSF6B,2,64.0,0.07720939599934654,0.018976959525647277,2.3473116390453255
CHAD,2,49.0,0.0941521020089076,0.019069551367201024,2.346035863421054
RBP2,2,64.0,0.0791895883873173,0.01905437660566138,2.345791495686492
CASP1,2,49.0,0.09682650898879454,0.019127348395819605,2.3449045769669525
GBA,2,49.0,0.10627078006558775,0.019200309784925308,2.3434807344230166
AIF1,2,49.0,0.09913390877709054,0.019449879608792235,2.338645890691973
SLAMF8,2,49.0,0.09414480257214752,0.019697865681450124,2.3338951592638937
CEACAM6,2,49.0,0.08831599693497917,0.019726453456546268,2.333350861619244
CILP,2,49.0,0.09766144024117082,0.019733064823716038,2.333225082483812
BSG,2,64.0,0.07659792210805019,0.01970614580601868,2.3332033388559483
RBM25,2,49.0,0.10406506938710715,0.019752369776961702,2.332858022599584
PTX3,2,64.0,0.07918006523552831,0.019750801385539526,2.3323542545593643
PTPRN2,2,64.0,0.07262061940989083,0.01975807822430299,2.332216051201538
TMSB10,2,49.0,0.09285185909582166,0.01980180603312712,2.3319194804609444
CCN4,2,49.0,0.09506633362018471,0.01983894626497202,2.331215722993364
KLRF1,2,64.0,0.08288835041804898,0.019847100854500838,2.330528903146071
AGR2,2,64.0,0.08318181579135428,0.019858796702266396,2.330307736157961
AHCY,2,49.0,0.09643710069323305,0.019975204741005358,2.3286436275691296
SCIN,2,49.0,0.0981596517044902,0.019981578556862507,2.3285236873257773
PBXIP1,2,64.0,0.0836172828028681,0.01997576595715697,2.32810209897496
C7,2,64.0,0.08128783480616206,0.019985926937020834,2.3279110308266864
CPXM2,2,64.0,0.07691114995669097,0.02071474968776324,2.314422470052906
BAP18,2,49.0,0.09556051171198307,0.021041868022376273,2.3090216369603804
FNDC1,2,49.0,0.10121078564019338,0.021332022766384164,2.3038343364483502
ADAM8,2,64.0,0.07782895288756697,0.021368752480690735,2.3026665502412063
FSTL1,2,49.0,0.08798590155106115,0.021664210063169754,2.297970556081431
ORM1,2,49.0,0.096526930638064,0.0216710348808705,2.297850907633564
CGREF1,2,64.0,0.07808580105835491,0.021688252053487747,2.2970370497170256
KLK11,2,49.0,0.08059443326234728,0.021943470372257162,2.2931013336567494
GAST,2,49.0,0.08579214836426068,0.02208528581669198,2.290649243965873
CR1,2,49.0,0.09343653147531612,0.022086355328665833,2.290630803482569
OPTC,2,49.0,0.09322518744391911,0.022169321590319712,2.2892026657823332
KIF1C,2,49.0,0.10031831343455519,0.02227263650375497,2.2874307457331415
FLT1,2,49.0,0.0970741138334305,0.02266325244178233,2.280795410934369
CCL15,2,49.0,0.09447302468535063,0.022787672165040133,2.278702796599785
FDX2,2,49.0,0.10164289246468494,0.022960594959743116,2.275810846803965
GAS2,2,49.0,0.10838501839000042,0.023051684676559242,2.2742950736781355
DKK4,2,64.0,0.07663897273483265,0.023125930371268172,2.272565755240493
PLAU,2,64.0,0.066755966030168,0.023387148058490223,2.268262160573447
MXRA8,2,64.0,0.0755215905567283,0.023421780686545365,2.267694722000575
ITPR1,2,49.0,0.10190576369452506,0.023612902704101362,2.265069342732468
HRG,2,49.0,0.10077368415134674,0.02363123790065611,2.2647711606008216
CEACAM21,2,64.0,0.08393040240258302,0.023923275341534832,2.2595585768769832
FES,2,64.0,0.08044988095759377,0.02397445650869702,2.2587365712435177
B2M,2,49.0,0.10079592483507858,0.024154121687836004,2.2563509906377246
MRPL28,2,49.0,0.09995969367947578,0.024284529177308372,2.2542756591678637
CNTN4,2,49.0,0.08704568335091231,0.02448185962218605,2.2511536092983606
DIPK2B,2,49.0,0.08759495252802008,0.024680536594481127,2.2480322241661113
BCL2L11,2,49.0,0.08462700454130566,0.024708051413337435,2.2476016616616246
NCR3LG1,2,49.0,0.09212358541832232,0.024851458653939264,2.245364275254174
EGLN1,2,49.0,0.08857085809106374,0.025177249107337055,2.240322704493105
CES1,2,49.0,0.09021324438380557,0.025199160913776986,2.239985654189569
SORBS1,2,49.0,0.08319104870225365,0.02538171757406137,2.23718736865665
ESM1,2,64.0,0.07524934033837363,0.025374323063665556,2.2368233205336367
RNASEH2A,2,49.0,0.09738901456142071,0.025439039736914172,2.2363123122821107
CEACAM19,2,49.0,0.09640510781589594,0.0254986319116812,2.235404411120321
