phenotype,code,type,A,B,C,D,E,F,G,H,I,J
Non-oily fish intake,1339,category,0:Never,1:Less than once a week,2:Once a week,3:2-4 times a week,4:5-6 times a week,5:Once or more daily,,,,
O levels/GCSEs or equivalent,6138,category,0:No,1:Yes,,,,,,,,
Oily fish intake,1329,category,0:Never,1:Less than once a week,2:Once a week,3:2-4 times a week,4:5-6 times a week,5:Once or more daily,,,,
Other professional qualifications,6138,category,0:No,1:Yes,,,,,,,,
Other related,6141,category,0:No,1:Yes,,,,,,,,
Particulate matter air pollution (pm10); 2007,24019,numerical,micro-g/m3,,,,,,,,,
Particulate matter air pollution (pm10); 2010,24005,numerical,micro-g/m3,,,,,,,,,
Particulate matter air pollution (pm2.5) absorbance; 2010,24007,numerical,micro-g/m3,,,,,,,,,
Particulate matter air pollution (pm2.5); 2010,24006,numerical,micro-g/m3,,,,,,,,,
Particulate matter air pollution 2.5-10um; 2010,24008,numerical,micro-g/m3,,,,,,,,,
Pork intake,1389,category,0:Never,1:Less than once a week,2:Once a week,3:2-4 times a week,4:5-6 times a week,5:Once or more daily,,,,
Poultry intake,1359,category,0:Never,1:Less than once a week,2:Once a week,3:2-4 times a week,4:5-6 times a week,5:Once or more daily,,,,
Processed meat intake,1349,category,0:Never,1:Less than once a week,2:Once a week,3:2-4 times a week,4:5-6 times a week,5:Once or more daily,,,,
Raw vegetable intake,1299,numerical,tablespoons/day,,,,,,,,,
Retired,6142,category,0:No,1:Yes,,,,,,,,
Salt added to food,1478,category,1:Never/rarely,2:Sometimes,3:Usually,4:Always,,,,,,
Selenium,6179,category,0:No,1:Yes,,,,,,,,
Sleep duration,1160,numerical,hours/day,,,,,,,,,
Sleeplessness,1200,category,1:Never/rarely,2:Sometimes,3:Usually,,,,,,,
Smoking status,20116,category,0:Never,1:Previous,2:Current,,,,,,,
Snoring,1210,category,2:No,1:Yes,,,,,,,,
Son and/or daughter,6141,category,0:No,1:Yes,,,,,,,,
Spread type,1428,category,0:Never/rarely use spread,1:Butter/spreadable butter,2:Flora Pro-Active/Benecol,3:Other type of spread/margarine,,,,,,
Sum of road length of major roads within 100m,24015,numerical,metres,,,,,,,,,
Summed MET minutes per week for all activity,22040,numerical,minutes/week,,,,,,,,,
Summed minutes activity,22034,numerical,minutes,,,,,,,,,
Tea intake,1488,numerical,cups/day,,,,,,,,,
Total traffic load on major roads,24013,numerical,vehicles/day,,,,,,,,,
Townsend deprivation index,189,numerical,,,,,,,,,,
Traffic intensity on the nearest major road,24011,numerical,vehicles/day,,,,,,,,,
Unable to work because of sickness or disability,6142,category,0:No,1:Yes,,,,,,,,
Unemployed,6142,category,0:No,1:Yes,,,,,,,,
Usual walking pace,924,category,1:Slow pace,2:Steady pace,3:Brisk pace,,,,,,,
Variation in diet,1548,category,1:Never/rarely,2:Sometimes,3: Often,,,,,,,
Vitamin A,6155,category,0:No,1:Yes,,,,,,,,
Vitamin B,6155,category,0:No,1:Yes,,,,,,,,
Vitamin C,6155,category,0:No,1:Yes,,,,,,,,
Vitamin D_ukb_Modifiable_categorical_bl_data,6155,category,0:No,1:Yes,,,,,,,,
Vitamin E,6155,category,0:No,1:Yes,,,,,,,,
Water intake,1528,numerical,glasses/day,,,,,,,,,
"Water percentage, buffer 1000m",24502,numerical,percent,,,,,,,,,
"Water percentage, buffer 300m",24505,numerical,percent,,,,,,,,,
Zinc,6179,category,0:No,1:Yes,,,,,,,,
Mean platelet volume,30100,numerical,fL,,,,,,,,,
Alkaline phosphatase,30610,numerical,U/L,,,,,,,,,
Cholesterol,30690,numerical,mmol/L,,,,,,,,,
HDL Cholesterol,30760,numerical,mmol/L,,,,,,,,,
LDL Cholesterol,30780,numerical,mmol/L,,,,,,,,,
