"Description",".sign","p.adjust","GeneRatio","Subtype"
"nuclear chromosome segregation","suppressed",0.0274139277671114,0.465116279069767,1
"positive regulation of cell motility","activated",0.0274139277671114,0.510822510822511,1
"cell activation","activated",0.0280288798622308,0.298329355608592,1
"midgut development","suppressed",0.0281087635699945,0.5,1
"morphogenesis of a branching structure","activated",0.0281087635699945,0.344262295081967,1
"morphogenesis of a branching epithelium","activated",0.0281087635699945,0.344262295081967,1
"myeloid leukocyte migration","activated",0.0283660214839391,0.496,1
"positive regulation of leukocyte activation","activated",0.0283660214839391,0.354166666666667,1
"regulation of cell migration","activated",0.0293154240661296,0.344632768361582,1
"animal organ morphogenesis","activated",0.0301888806011335,0.333333333333333,1
"negative regulation of cell-cell adhesion","activated",0.0302746843352432,0.395604395604396,1
"negative regulation of leukocyte proliferation","activated",0.0304779347270235,0.471698113207547,1
"skeletal system development","activated",0.0304779347270235,0.346456692913386,1
"leukocyte cell-cell adhesion","activated",0.0304779347270235,0.331460674157303,1
"regulation of locomotion","activated",0.0321236718898644,0.433862433862434,1
"spindle assembly","suppressed",0.0327415736488396,0.55,1
"negative regulation of T cell proliferation","activated",0.0344709685458098,0.476190476190476,1
"cell surface receptor protein serine/threonine kinase signaling pathway","activated",0.0349189545109346,0.263636363636364,1
"regulation of hemopoiesis","activated",0.0349189545109346,0.242424242424242,1
"transforming growth factor beta receptor superfamily signaling pathway","activated",0.0351187949462755,0.25,1
"connective tissue development","activated",0.0367747108620782,0.315789473684211,1
"myeloid leukocyte activation","activated",0.0374189600721148,0.427350427350427,1
"regulation of cell-cell adhesion","activated",0.0376846782322593,0.316326530612245,1
"sister chromatid segregation","suppressed",0.0377109872266672,0.514285714285714,1
"positive regulation of cellular process","activated",0.0380322275202421,0.25,1
"defense response to bacterium","activated",0.0412956621220841,0.46551724137931,1
"negative regulation of immune response","activated",0.0421998392549573,0.457831325301205,1
"leukocyte proliferation","activated",0.0422385159310859,0.346666666666667,1
"negative regulation of leukocyte differentiation","activated",0.0434688345948865,0.342857142857143,1
"granulocyte migration","activated",0.0434688345948865,0.469135802469136,1
"cytokine production","activated",0.0434688345948865,0.361486486486487,1
"regulation of developmental process","activated",0.0435712773939304,0.286173633440514,1
"negative regulation of hemopoiesis","activated",0.0452144430255019,0.342105263157895,1
"positive regulation of cell migration","activated",0.0476848084449479,0.508771929824561,1
"multi-multicellular organism process","activated",0.0495410232692184,0.445945945945946,1
"cell killing","activated",0.0495410232692184,0.449152542372881,1
"signal transduction","activated",4.54883922998523e-06,0.247982391782832,2
"signaling","activated",1.87362911575741e-05,0.271163110805231,2
"cell communication","activated",1.87362911575741e-05,0.240054869684499,2
"response to stimulus","activated",4.37659637668123e-05,0.226254002134472,2
"cell surface receptor signaling pathway","activated",5.71984970455382e-05,0.273483947681332,2
"cellular response to stimulus","activated",0.000645830414635972,0.231457800511509,2
"sulfur compound metabolic process","suppressed",0.000910287429884252,0.454545454545455,2
"multicellular organismal process","activated",0.00110143626083551,0.213197969543147,2
"ubiquitin-dependent protein catabolic process","suppressed",0.00183128932799796,0.571428571428571,2
"modification-dependent protein catabolic process","suppressed",0.00183128932799796,0.564102564102564,2
"modification-dependent macromolecule catabolic process","suppressed",0.00183128932799796,0.564102564102564,2
"macroautophagy","suppressed",0.00185772716018796,0.591549295774648,2
"positive regulation of leukocyte migration","activated",0.00249547007650998,0.466666666666667,2
"anatomical structure development","activated",0.00249547007650998,0.225352112676056,2
"regulation of cellular process","activated",0.00249547007650998,0.222942643391521,2
"developmental process","activated",0.00251173447426248,0.224962630792227,2
"immune system process","activated",0.00507711940551353,0.283653846153846,2
"proteasome-mediated ubiquitin-dependent protein catabolic process","suppressed",0.00555423373233545,0.538461538461538,2
"regulation of biological process","activated",0.00581019113525673,0.222115384615385,2
"biological regulation","activated",0.00663287066718996,0.218471636193155,2
"blood vessel development","activated",0.0082464855380794,0.342105263157895,2
"blood vessel morphogenesis","activated",0.00839916747825057,0.352,2
"angiogenesis","activated",0.0099179664314954,0.359649122807018,2
